"time","close","high","low","open","volumefrom","volumeto","VOLALITY8hour"
"2017-07-25",203.59,207.23,192.96,192.99,256564.8,51174964.47,3.59
"2017-07-25",199.12,209.29,196.04,203.59,140745.84,28698943.92,3.58
"2017-07-25",195.23,201.81,194.51,199.12,125269.74,24760595.14,3.45
"2017-07-26",200.91,203.19,193.1,195.23,95259.3,18744109.61,3.46
"2017-07-26",205.17,205.49,196.54,200.91,70903.47,14259417.96,3.56
"2017-07-26",200.03,206.12,198.49,205.17,91042.58,18403975.44,3.66
"2017-07-26",198.88,200.03,194.53,200.03,139486.57,27412523.83,2.82
"2017-07-26",200.96,201.07,197.73,198.88,62968.36,12555597.51,2.04
"2017-07-26",202.88,203.73,197.97,200.96,83670.79,16824111.61,1.88
"2017-07-26",200.63,204.09,200.28,202.88,58887.84,11934881.06,1.76
"2017-07-26",201.75,203.42,199.77,200.63,49972.84,10082824.32,1.45
"2017-07-27",201.9,202.09,199.6,201.75,37530.42,7541482.48,1.19
"2017-07-27",204.65,205.68,201.79,201.9,70078.42,14315735.97,0.8421
"2017-07-27",200.46,204.78,200.32,204.65,58710.46,11926346.46,1.17
"2017-07-27",201.13,201.54,199.03,200.46,74935.38,15001922.71,1.11
"2017-07-27",199.42,201.41,198.93,201.13,54384.16,10861118.73,1.07
"2017-07-27",202.93,204.83,199.39,199.42,100277.94,20345050.2,1.2
"2017-07-27",202.53,203.93,202.09,202.93,42097.58,8544643.78,1.2
"2017-07-27",202.7,202.96,200.9,202.53,32819.44,6629387.57,1.2
"2017-07-28",200.17,203.01,199.62,202.7,57512.57,11557391.89,1.14
"2017-07-28",190.34,200.78,189.77,200.17,153842.31,29941196.49,1.97
"2017-07-28",196.57,196.89,190.07,190.34,161743.78,31152522.25,2.4
"2017-07-28",193.91,196.85,192.75,196.57,76573.72,14917214.98,2.42
"2017-07-28",194.45,194.5,192.5,193.91,56462.66,10923526.72,2.29
"2017-07-28",191.21,194.93,191.02,194.45,50728.65,9759583.37,2.31
"2017-07-28",189.07,193.05,186.74,191.21,82938.88,15708615.87,2.28
"2017-07-28",184.55,189.24,181.91,189.07,137328.22,25352237.49,2.34
"2017-07-29",184.05,185.36,182.09,184.55,56336.47,10361304.33,1.72
"2017-07-29",181.35,185.03,177.69,184.05,115310.27,20816376.48,0.8331
"2017-07-29",181.22,184.84,181.05,181.35,84722.82,15459978.49,0.9056
"2017-07-29",187.33,188.14,180.78,181.22,102753.7,18945746.76,1.74
"2017-07-29",198.22,202.28,187.07,187.33,259334.73,50877571.73,2.68
"2017-07-29",206.14,209.57,194.94,198.22,171295.74,34803270.89,2.82
"2017-07-29",200.34,209.88,198.87,206.14,119559.21,24413676.59,2.9
"2017-07-29",198.19,204.83,198.08,200.34,72461.05,14608648.43,2.97
"2017-07-30",195.88,199.73,194.12,198.19,69617.74,13649650.4,2.94
"2017-07-30",201.5,201.91,195.77,195.88,53447.01,10628021.9,2.95
"2017-07-30",200.25,203.54,197.18,201.5,63700.72,12735861.17,2.93
"2017-07-30",197.85,200.38,196.24,200.25,63037.52,12421908.69,2.26
"2017-07-30",198.01,200.78,197.52,197.85,59686.63,11864058.73,1.61
"2017-07-30",196.78,198.88,195.45,198.01,52239.21,10264749.84,1.33
"2017-07-30",195.56,196.78,192.39,196.78,53438.82,10375195.77,1.3
"2017-07-30",195.68,196.54,195.36,195.56,30518.49,5962701.17,1.23
"2017-07-31",194.88,198.27,194.67,195.68,48362.97,9483540.75,0.414
"2017-07-31",191.62,195.51,191.31,194.88,66905.44,12916128.11,0.5953
"2017-07-31",192.72,195.67,190.53,191.62,95150.3,18342353.45,0.6698
"2017-07-31",197.38,198.1,192.71,192.72,70657.49,13826599.06,1.18
"2017-07-31",200.36,201.52,197.27,197.38,98841.78,19716972.72,1.27
"2017-07-31",201.33,201.78,199.76,200.36,64947.37,13017858.37,1.21
"2017-07-31",206.36,209.71,201.27,201.33,162229.84,33417292.28,1.39
"2017-07-31",218.28,218.85,206.12,206.36,261470.63,55824082.86,2.09
"2017-08-01",214.78,224.63,212.48,218.28,243908.29,53419003.87,2.08
"2017-08-01",211.14,216.38,210.93,214.78,97222.54,20693674.22,2.37
"2017-08-01",219.09,221.81,209.72,211.14,238338.85,51593161.02,2.5
"2017-08-01",221.18,223.13,215.16,219.09,114443.55,25087194.18,2.51
"2017-08-01",229.3,232.55,220.74,221.18,231285.95,52727962.6,2.58
"2017-08-01",225.9,229.38,222.33,229.3,95324.57,21497679.78,2.81
"2017-08-01",226.28,228.98,223.08,225.9,65082.28,14689299.07,2.19
"2017-08-01",225.53,226.78,224.23,226.28,35809.58,8075409.7,2.05
"2017-08-02",223.91,225.88,221.35,225.53,56044.97,12520156.26,1.91
"2017-08-02",221.41,224.01,217.58,223.91,75473.17,16654905.38,1.6
"2017-08-02",218.39,221.45,215.71,221.41,114011.49,24868674.17,1.64
"2017-08-02",222.02,223.23,218.18,218.39,84275.67,18576290.9,1.02
"2017-08-02",217.31,222.4,217.25,222.02,60082.42,13172496.97,1.13
"2017-08-02",218.12,218.55,216.1,217.31,66383.41,14410580.04,1.15
"2017-08-02",218.66,220.73,217.84,218.12,39719.78,8695624.4,1.18
"2017-08-02",220.28,220.64,217.94,218.66,34914.96,7644192.19,1.24
"2017-08-03",222.62,224.03,219.47,220.28,54960.11,12195729.44,1.25
"2017-08-03",226.09,226.13,222.55,222.62,62203.49,13983818.78,1.19
"2017-08-03",224.48,228.08,224.18,226.09,84279.65,19038547.05,1.15
"2017-08-03",223.17,224.97,222.9,224.48,55000.59,12314590.35,0.7649
"2017-08-03",224,225,222.9,223.17,48094.63,10785210.7,0.7649
"2017-08-03",224.39,224.58,223.05,224,38154.49,8543506.6,0.7671
"2017-08-03",224.9,227.45,224.28,224.39,68151.09,15372071.7,0.7527
"2017-08-03",224.52,225.47,223.48,224.9,47091.88,10568531.23,0.696
"2017-08-04",224.77,225.23,224.03,224.52,31548.75,7085320.76,0.39
"2017-08-04",222.48,225.39,220.94,224.77,68225.16,15203936.3,0.4686
"2017-08-04",223.17,223.85,221.83,222.48,31862.77,7102791.25,0.448
"2017-08-04",221.03,223.25,221.03,223.17,46859.25,10404594.23,0.5266
"2017-08-04",221.87,222.16,219.73,221.03,52848.24,11666852.93,0.5513
"2017-08-04",220.6,222.46,220.4,221.87,47018.02,10400398.52,0.5418
"2017-08-04",222.75,223.14,219.72,220.6,69332.4,15281403.09,0.698
"2017-08-04",227.56,229.12,222.02,222.75,168621.9,38309376.55,1.06
"2017-08-05",232.69,234.24,227.46,227.56,106047.5,24638523.82,1.14
"2017-08-05",238.31,244.59,232.63,232.69,150606.74,36081370.34,1.28
"2017-08-05",243.43,243.55,236.77,238.31,85777.42,20642600.81,1.06
"2017-08-05",252.01,258.47,241.48,243.43,204825.53,50806091.61,1.19
"2017-08-05",250.14,255.46,246.3,252.01,148033.87,36980996.69,1.24
"2017-08-05",253.09,253.09,242.75,250.14,116379.07,28791382.81,1.22
"2017-08-05",259.36,263.63,251.92,253.09,202513.09,52566236.87,1.23
"2017-08-05",254.13,259.45,252.51,259.36,102274.71,26283138.83,1.82
"2017-08-06",254.02,256.36,251.79,254.13,71204.89,18080916.2,1.8
"2017-08-06",256.91,258.37,253.99,254.02,46201.9,11922992.07,1.74
"2017-08-06",258.42,258.42,253.56,256.91,59372.57,15252269.79,1.35
"2017-08-06",263.46,265.51,257.83,258.42,110146.68,28954589.44,1.36
"2017-08-06",271.9,271.94,262.2,263.46,127087.21,33905819.18,1.61
"2017-08-06",264.56,272.22,263.73,271.9,120423.18,32349881.79,1.94
"2017-08-06",260.92,266.54,257.41,264.56,104064.77,27200436.2,1.84
"2017-08-06",262.83,265.89,260.73,260.92,49303.17,12988940.77,1.84
"2017-08-07",261.38,263.44,260.15,262.83,43868.94,11491221.59,1.85
"2017-08-07",269.32,270.04,261.1,261.38,79004.36,21101981.98,2.09
"2017-08-07",272.69,274.39,268.59,269.32,109535.71,29750889.61,2.04
"2017-08-07",269.45,272.8,267.43,272.69,80180.7,21668833.05,1.78
"2017-08-07",267.02,269.7,265.57,269.64,65828.85,17622070.14,1.48
"2017-08-07",269.94,270.56,266.19,267.02,62599.09,16766199.76,1.37
"2017-08-07",271.06,271.09,266.94,269.94,40602.86,10924580.04,1.37
"2017-08-07",270.78,273.91,270.49,271.06,55764.33,15169010.8,1.33
"2017-08-08",274.09,274.12,270.56,270.78,37488.61,10216695.51,0.9409
"2017-08-08",278.87,279.37,273.83,274.09,83607.47,23131558.91,1.03
"2017-08-08",286,289.62,278.77,278.87,190640.76,54217240.54,1.07
"2017-08-08",286.18,289.92,284.66,286,117408.82,33757945.26,0.8741
"2017-08-08",296.17,297.1,286.03,286.18,142809.69,41694874.97,1.23
"2017-08-08",296.51,299.55,293.1,296.17,135890.75,40347327.3,1.26
"2017-08-08",308.86,314.75,295.2,296.51,295169.42,90400200.25,1.44
"2017-08-08",308.55,314.7,304.14,308.86,141455.78,43941266.43,1.59
"2017-08-09",300.81,311.86,299.55,308.55,131657.52,40056109.03,2.17
"2017-08-09",296.15,300.81,282.54,300.81,307434.68,89586154.48,2.26
"2017-08-09",279.3,298.22,279.1,296.15,212966.03,61073135.24,3.18
"2017-08-09",296.02,296.42,279.29,279.3,168624.04,48581154.97,3.66
